"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Georgia"	"13"	"2022"	"2022"	"July"	"7"	10904
	"Georgia"	"13"	"2022"	"2022"	"August"	"8"	11855
	"Georgia"	"13"	"2022"	"2022"	"September"	"9"	10565
	"Georgia"	"13"	"2022"	"2022"	"October"	"10"	10407
	"Georgia"	"13"	"2022"	"2022"	"November"	"11"	10747
	"Georgia"	"13"	"2022"	"2022"	"December"	"12"	11097
"Total"	"Georgia"	"13"	"2022"	"2022"			126130
"Total"	"Georgia"	"13"					372676
	"Hawaii"	"15"	"2020"	"2020"	"January"	"1"	1350
	"Hawaii"	"15"	"2020"	"2020"	"February"	"2"	1290
	"Hawaii"	"15"	"2020"	"2020"	"March"	"3"	1356
	"Hawaii"	"15"	"2020"	"2020"	"April"	"4"	1302
	"Hawaii"	"15"	"2020"	"2020"	"May"	"5"	1342
	"Hawaii"	"15"	"2020"	"2020"	"June"	"6"	1197
	"Hawaii"	"15"	"2020"	"2020"	"July"	"7"	1323
	"Hawaii"	"15"	"2020"	"2020"	"August"	"8"	1332
	"Hawaii"	"15"	"2020"	"2020"	"September"	"9"	1331
	"Hawaii"	"15"	"2020"	"2020"	"October"	"10"	1384
	"Hawaii"	"15"	"2020"	"2020"	"November"	"11"	1317
	"Hawaii"	"15"	"2020"	"2020"	"December"	"12"	1261
"Total"	"Hawaii"	"15"	"2020"	"2020"			15785
	"Hawaii"	"15"	"2021"	"2021"	"January"	"1"	1207
	"Hawaii"	"15"	"2021"	"2021"	"February"	"2"	1117
	"Hawaii"	"15"	"2021"	"2021"	"March"	"3"	1417
	"Hawaii"	"15"	"2021"	"2021"	"April"	"4"	1270
	"Hawaii"	"15"	"2021"	"2021"	"May"	"5"	1283
	"Hawaii"	"15"	"2021"	"2021"	"June"	"6"	1267
	"Hawaii"	"15"	"2021"	"2021"	"July"	"7"	1353
	"Hawaii"	"15"	"2021"	"2021"	"August"	"8"	1420
	"Hawaii"	"15"	"2021"	"2021"	"September"	"9"	1386
	"Hawaii"	"15"	"2021"	"2021"	"October"	"10"	1332
	"Hawaii"	"15"	"2021"	"2021"	"November"	"11"	1258
	"Hawaii"	"15"	"2021"	"2021"	"December"	"12"	1310
"Total"	"Hawaii"	"15"	"2021"	"2021"			15620
	"Hawaii"	"15"	"2022"	"2022"	"January"	"1"	1360
	"Hawaii"	"15"	"2022"	"2022"	"February"	"2"	1273
	"Hawaii"	"15"	"2022"	"2022"	"March"	"3"	1357
	"Hawaii"	"15"	"2022"	"2022"	"April"	"4"	1208
	"Hawaii"	"15"	"2022"	"2022"	"May"	"5"	1209
	"Hawaii"	"15"	"2022"	"2022"	"June"	"6"	1253
	"Hawaii"	"15"	"2022"	"2022"	"July"	"7"	1339
	"Hawaii"	"15"	"2022"	"2022"	"August"	"8"	1308
	"Hawaii"	"15"	"2022"	"2022"	"September"	"9"	1327
	"Hawaii"	"15"	"2022"	"2022"	"October"	"10"	1314
	"Hawaii"	"15"	"2022"	"2022"	"November"	"11"	1278
	"Hawaii"	"15"	"2022"	"2022"	"December"	"12"	1309
"Total"	"Hawaii"	"15"	"2022"	"2022"			15535
"Total"	"Hawaii"	"15"					46940
	"Idaho"	"16"	"2020"	"2020"	"January"	"1"	1698
	"Idaho"	"16"	"2020"	"2020"	"February"	"2"	1615
	"Idaho"	"16"	"2020"	"2020"	"March"	"3"	1864
	"Idaho"	"16"	"2020"	"2020"	"April"	"4"	1790
	"Idaho"	"16"	"2020"	"2020"	"May"	"5"	1861
	"Idaho"	"16"	"2020"	"2020"	"June"	"6"	1817
	"Idaho"	"16"	"2020"	"2020"	"July"	"7"	1963
	"Idaho"	"16"	"2020"	"2020"	"August"	"8"	1924
	"Idaho"	"16"	"2020"	"2020"	"September"	"9"	1923
	"Idaho"	"16"	"2020"	"2020"	"October"	"10"	1756
	"Idaho"	"16"	"2020"	"2020"	"November"	"11"	1632
	"Idaho"	"16"	"2020"	"2020"	"December"	"12"	1690
"Total"	"Idaho"	"16"	"2020"	"2020"			21533
	"Idaho"	"16"	"2021"	"2021"	"January"	"1"	1675
	"Idaho"	"16"	"2021"	"2021"	"February"	"2"	1570
	"Idaho"	"16"	"2021"	"2021"	"March"	"3"	1950
	"Idaho"	"16"	"2021"	"2021"	"April"	"4"	1862
	"Idaho"	"16"	"2021"	"2021"	"May"	"5"	1950
	"Idaho"	"16"	"2021"	"2021"	"June"	"6"	1992
	"Idaho"	"16"	"2021"	"2021"	"July"	"7"	1968
	"Idaho"	"16"	"2021"	"2021"	"August"	"8"	2047
	"Idaho"	"16"	"2021"	"2021"	"September"	"9"	1896
	"Idaho"	"16"	"2021"	"2021"	"October"	"10"	1848
	"Idaho"	"16"	"2021"	"2021"	"November"	"11"	1819
	"Idaho"	"16"	"2021"	"2021"	"December"	"12"	1850
"Total"	"Idaho"	"16"	"2021"	"2021"			22427
	"Idaho"	"16"	"2022"	"2022"	"January"	"1"	1786
	"Idaho"	"16"	"2022"	"2022"	"February"	"2"	1648
	"Idaho"	"16"	"2022"	"2022"	"March"	"3"	1894
	"Idaho"	"16"	"2022"	"2022"	"April"	"4"	1835
	"Idaho"	"16"	"2022"	"2022"	"May"	"5"	1881
	"Idaho"	"16"	"2022"	"2022"	"June"	"6"	1932
	"Idaho"	"16"	"2022"	"2022"	"July"	"7"	2012
	"Idaho"	"16"	"2022"	"2022"	"August"	"8"	2045
	"Idaho"	"16"	"2022"	"2022"	"September"	"9"	1903
	"Idaho"	"16"	"2022"	"2022"	"October"	"10"	1866
	"Idaho"	"16"	"2022"	"2022"	"November"	"11"	1736
	"Idaho"	"16"	"2022"	"2022"	"December"	"12"	1853
"Total"	"Idaho"	"16"	"2022"	"2022"			22391
"Total"	"Idaho"	"16"					66351
	"Illinois"	"17"	"2020"	"2020"	"January"	"1"	11121
	"Illinois"	"17"	"2020"	"2020"	"February"	"2"	10434
	"Illinois"	"17"	"2020"	"2020"	"March"	"3"	11117
	"Illinois"	"17"	"2020"	"2020"	"April"	"4"	10787
	"Illinois"	"17"	"2020"	"2020"	"May"	"5"	11455
	"Illinois"	"17"	"2020"	"2020"	"June"	"6"	11199
	"Illinois"	"17"	"2020"	"2020"	"July"	"7"	11965
	"Illinois"	"17"	"2020"	"2020"	"August"	"8"	12048
	"Illinois"	"17"	"2020"	"2020"	"September"	"9"	11356
	"Illinois"	"17"	"2020"	"2020"	"October"	"10"	11021
	"Illinois"	"17"	"2020"	"2020"	"November"	"11"	10327
	"Illinois"	"17"	"2020"	"2020"	"December"	"12"	10468
"Total"	"Illinois"	"17"	"2020"	"2020"			133298
	"Illinois"	"17"	"2021"	"2021"	"January"	"1"	9798
	"Illinois"	"17"	"2021"	"2021"	"February"	"2"	9666
	"Illinois"	"17"	"2021"	"2021"	"March"	"3"	11322
	"Illinois"	"17"	"2021"	"2021"	"April"	"4"	10907
	"Illinois"	"17"	"2021"	"2021"	"May"	"5"	11075
	"Illinois"	"17"	"2021"	"2021"	"June"	"6"	11921
	"Illinois"	"17"	"2021"	"2021"	"July"	"7"	12000
	"Illinois"	"17"	"2021"	"2021"	"August"	"8"	11838
	"Illinois"	"17"	"2021"	"2021"	"September"	"9"	11416
	"Illinois"	"17"	"2021"	"2021"	"October"	"10"	11092
	"Illinois"	"17"	"2021"	"2021"	"November"	"11"	10416
	"Illinois"	"17"	"2021"	"2021"	"December"	"12"	10738
"Total"	"Illinois"	"17"	"2021"	"2021"			132189
	"Illinois"	"17"	"2022"	"2022"	"January"	"1"	10117
	"Illinois"	"17"	"2022"	"2022"	"February"	"2"	9603
	"Illinois"	"17"	"2022"	"2022"	"March"	"3"	10681
	"Illinois"	"17"	"2022"	"2022"	"April"	"4"	10166
	"Illinois"	"17"	"2022"	"2022"	"May"	"5"	10743
	"Illinois"	"17"	"2022"	"2022"	"June"	"6"	11028
	"Illinois"	"17"	"2022"	"2022"	"July"	"7"	11315
	"Illinois"	"17"	"2022"	"2022"	"August"	"8"	11721
	"Illinois"	"17"	"2022"	"2022"	"September"	"9"	10823
	"Illinois"	"17"	"2022"	"2022"	"October"	"10"	10714
	"Illinois"	"17"	"2022"	"2022"	"November"	"11"	10766
	"Illinois"	"17"	"2022"	"2022"	"December"	"12"	10673
"Total"	"Illinois"	"17"	"2022"	"2022"			128350
"Total"	"Illinois"	"17"					393837
	"Indiana"	"18"	"2020"	"2020"	"January"	"1"	6608
	"Indiana"	"18"	"2020"	"2020"	"February"	"2"	6264
	"Indiana"	"18"	"2020"	"2020"	"March"	"3"	6556
	"Indiana"	"18"	"2020"	"2020"	"April"	"4"	6273
	"Indiana"	"18"	"2020"	"2020"	"May"	"5"	6683
	"Indiana"	"18"	"2020"	"2020"	"June"	"6"	6480
	"Indiana"	"18"	"2020"	"2020"	"July"	"7"	7195
	"Indiana"	"18"	"2020"	"2020"	"August"	"8"	6958
	"Indiana"	"18"	"2020"	"2020"	"September"	"9"	6804
	"Indiana"	"18"	"2020"	"2020"	"October"	"10"	6556
	"Indiana"	"18"	"2020"	"2020"	"November"	"11"	6059
	"Indiana"	"18"	"2020"	"2020"	"December"	"12"	6180
"Total"	"Indiana"	"18"	"2020"	"2020"			78616
	"Indiana"	"18"	"2021"	"2021"	"January"	"1"	6169
	"Indiana"	"18"	"2021"	"2021"	"February"	"2"	5657
	"Indiana"	"18"	"2021"	"2021"	"March"	"3"	6323
	"Indiana"	"18"	"2021"	"2021"	"April"	"4"	6314
	"Indiana"	"18"	"2021"	"2021"	"May"	"5"	6584
	"Indiana"	"18"	"2021"	"2021"	"June"	"6"	6963
	"Indiana"	"18"	"2021"	"2021"	"July"	"7"	7248
	"Indiana"	"18"	"2021"	"2021"	"August"	"8"	7204
	"Indiana"	"18"	"2021"	"2021"	"September"	"9"	7161
	"Indiana"	"18"	"2021"	"2021"	"October"	"10"	7002
	"Indiana"	"18"	"2021"	"2021"	"November"	"11"	6593
	"Indiana"	"18"	"2021"	"2021"	"December"	"12"	6728
"Total"	"Indiana"	"18"	"2021"	"2021"			79946
	"Indiana"	"18"	"2022"	"2022"	"January"	"1"	6218
	"Indiana"	"18"	"2022"	"2022"	"February"	"2"	5974
	"Indiana"	"18"	"2022"	"2022"	"March"	"3"	6790
	"Indiana"	"18"	"2022"	"2022"	"April"	"4"	6360
	"Indiana"	"18"	"2022"	"2022"	"May"	"5"	6522
	"Indiana"	"18"	"2022"	"2022"	"June"	"6"	6736
	"Indiana"	"18"	"2022"	"2022"	"July"	"7"	6795
	"Indiana"	"18"	"2022"	"2022"	"August"	"8"	7351
	"Indiana"	"18"	"2022"	"2022"	"September"	"9"	6696
	"Indiana"	"18"	"2022"	"2022"	"October"	"10"	6752
	"Indiana"	"18"	"2022"	"2022"	"November"	"11"	6626
	"Indiana"	"18"	"2022"	"2022"	"December"	"12"	6829
"Total"	"Indiana"	"18"	"2022"	"2022"			79649
"Total"	"Indiana"	"18"					238211
	"Iowa"	"19"	"2020"	"2020"	"January"	"1"	3035
	"Iowa"	"19"	"2020"	"2020"	"February"	"2"	2844
	"Iowa"	"19"	"2020"	"2020"	"March"	"3"	3029
	"Iowa"	"19"	"2020"	"2020"	"April"	"4"	2871
	"Iowa"	"19"	"2020"	"2020"	"May"	"5"	3216
	"Iowa"	"19"	"2020"	"2020"	"June"	"6"	3030
	"Iowa"	"19"	"2020"	"2020"	"July"	"7"	3153
	"Iowa"	"19"	"2020"	"2020"	"August"	"8"	3190
	"Iowa"	"19"	"2020"	"2020"	"September"	"9"	3095
	"Iowa"	"19"	"2020"	"2020"	"October"	"10"	2988
	"Iowa"	"19"	"2020"	"2020"	"November"	"11"	2764
	"Iowa"	"19"	"2020"	"2020"	"December"	"12"	2899
"Total"	"Iowa"	"19"	"2020"	"2020"			36114
	"Iowa"	"19"	"2021"	"2021"	"January"	"1"	2807
	"Iowa"	"19"	"2021"	"2021"	"February"	"2"	2730
	"Iowa"	"19"	"2021"	"2021"	"March"	"3"	3080
	"Iowa"	"19"	"2021"	"2021"	"April"	"4"	2971
	"Iowa"	"19"	"2021"	"2021"	"May"	"5"	3040
	"Iowa"	"19"	"2021"	"2021"	"June"	"6"	3196
	"Iowa"	"19"	"2021"	"2021"	"July"	"7"	3328
	"Iowa"	"19"	"2021"	"2021"	"August"	"8"	3312
	"Iowa"	"19"	"2021"	"2021"	"September"	"9"	3257
	"Iowa"	"19"	"2021"	"2021"	"October"	"10"	3143
	"Iowa"	"19"	"2021"	"2021"	"November"	"11"	3002
	"Iowa"	"19"	"2021"	"2021"	"December"	"12"	2969
"Total"	"Iowa"	"19"	"2021"	"2021"			36835
	"Iowa"	"19"	"2022"	"2022"	"January"	"1"	2930
	"Iowa"	"19"	"2022"	"2022"	"February"	"2"	2736
	"Iowa"	"19"	"2022"	"2022"	"March"	"3"	3156
	"Iowa"	"19"	"2022"	"2022"	"April"	"4"	2976
	"Iowa"	"19"	"2022"	"2022"	"May"	"5"	2974
	"Iowa"	"19"	"2022"	"2022"	"June"	"6"	3044
	"Iowa"	"19"	"2022"	"2022"	"July"	"7"	3217
	"Iowa"	"19"	"2022"	"2022"	"August"	"8"	3269
	"Iowa"	"19"	"2022"	"2022"	"September"	"9"	3074
	"Iowa"	"19"	"2022"	"2022"	"October"	"10"	3017
	"Iowa"	"19"	"2022"	"2022"	"November"	"11"	3041
	"Iowa"	"19"	"2022"	"2022"	"December"	"12"	3072
"Total"	"Iowa"	"19"	"2022"	"2022"			36506
"Total"	"Iowa"	"19"					109455
	"Kansas"	"20"	"2020"	"2020"	"January"	"1"	2780
	"Kansas"	"20"	"2020"	"2020"	"February"	"2"	2671
	"Kansas"	"20"	"2020"	"2020"	"March"	"3"	2962
	"Kansas"	"20"	"2020"	"2020"	"April"	"4"	2790
	"Kansas"	"20"	"2020"	"2020"	"May"	"5"	2878
	"Kansas"	"20"	"2020"	"2020"	"June"	"6"	2845
	"Kansas"	"20"	"2020"	"2020"	"July"	"7"	3032
	"Kansas"	"20"	"2020"	"2020"	"August"	"8"	3040
	"Kansas"	"20"	"2020"	"2020"	"September"	"9"	2984
	"Kansas"	"20"	"2020"	"2020"	"October"	"10"	2834
	"Kansas"	"20"	"2020"	"2020"	"November"	"11"	2731
	"Kansas"	"20"	"2020"	"2020"	"December"	"12"	2829
"Total"	"Kansas"	"20"	"2020"	"2020"			34376
	"Kansas"	"20"	"2021"	"2021"	"January"	"1"	2597
	"Kansas"	"20"	"2021"	"2021"	"February"	"2"	2547
	"Kansas"	"20"	"2021"	"2021"	"March"	"3"	2939
	"Kansas"	"20"	"2021"	"2021"	"April"	"4"	2855
	"Kansas"	"20"	"2021"	"2021"	"May"	"5"	2829
	"Kansas"	"20"	"2021"	"2021"	"June"	"6"	2952
	"Kansas"	"20"	"2021"	"2021"	"July"	"7"	3112
	"Kansas"	"20"	"2021"	"2021"	"August"	"8"	3024
	"Kansas"	"20"	"2021"	"2021"	"September"	"9"	3038
	"Kansas"	"20"	"2021"	"2021"	"October"	"10"	2937
	"Kansas"	"20"	"2021"	"2021"	"November"	"11"	2884
	"Kansas"	"20"	"2021"	"2021"	"December"	"12"	2991
"Total"	"Kansas"	"20"	"2021"	"2021"			34705
	"Kansas"	"20"	"2022"	"2022"	"January"	"1"	2805
	"Kansas"	"20"	"2022"	"2022"	"February"	"2"	2545
	"Kansas"	"20"	"2022"	"2022"	"March"	"3"	2872
	"Kansas"	"20"	"2022"	"2022"	"April"	"4"	2629
	"Kansas"	"20"	"2022"	"2022"	"May"	"5"	2689
	"Kansas"	"20"	"2022"	"2022"	"June"	"6"	2842
	"Kansas"	"20"	"2022"	"2022"	"July"	"7"	2898
	"Kansas"	"20"	"2022"	"2022"	"August"	"8"	3260
	"Kansas"	"20"	"2022"	"2022"	"September"	"9"	3110
	"Kansas"	"20"	"2022"	"2022"	"October"	"10"	2775
	"Kansas"	"20"	"2022"	"2022"	"November"	"11"	2995
	"Kansas"	"20"	"2022"	"2022"	"December"	"12"	2981
"Total"	"Kansas"	"20"	"2022"	"2022"			34401
"Total"	"Kansas"	"20"					103482
	"Kentucky"	"21"	"2020"	"2020"	"January"	"1"	4309
	"Kentucky"	"21"	"2020"	"2020"	"February"	"2"	4067
	"Kentucky"	"21"	"2020"	"2020"	"March"	"3"	4245
	"Kentucky"	"21"	"2020"	"2020"	"April"	"4"	4092
	"Kentucky"	"21"	"2020"	"2020"	"May"	"5"	4181
	"Kentucky"	"21"	"2020"	"2020"	"June"	"6"	4333
	"Kentucky"	"21"	"2020"	"2020"	"July"	"7"	4659
	"Kentucky"	"21"	"2020"	"2020"	"August"	"8"	4544
	"Kentucky"	"21"	"2020"	"2020"	"September"	"9"	4499
	"Kentucky"	"21"	"2020"	"2020"	"October"	"10"	4409
	"Kentucky"	"21"	"2020"	"2020"	"November"	"11"	4061
	"Kentucky"	"21"	"2020"	"2020"	"December"	"12"	4269
"Total"	"Kentucky"	"21"	"2020"	"2020"			51668
	"Kentucky"	"21"	"2021"	"2021"	"January"	"1"	4120
	"Kentucky"	"21"	"2021"	"2021"	"February"	"2"	3892
	"Kentucky"	"21"	"2021"	"2021"	"March"	"3"	4343
	"Kentucky"	"21"	"2021"	"2021"	"April"	"4"	4108
	"Kentucky"	"21"	"2021"	"2021"	"May"	"5"	4232
	"Kentucky"	"21"	"2021"	"2021"	"June"	"6"	4339
	"Kentucky"	"21"	"2021"	"2021"	"July"	"7"	4760
	"Kentucky"	"21"	"2021"	"2021"	"August"	"8"	4730
	"Kentucky"	"21"	"2021"	"2021"	"September"	"9"	4721
	"Kentucky"	"21"	"2021"	"2021"	"October"	"10"	4463
	"Kentucky"	"21"	"2021"	"2021"	"November"	"11"	4204
	"Kentucky"	"21"	"2021"	"2021"	"December"	"12"	4302
"Total"	"Kentucky"	"21"	"2021"	"2021"			52214
	"Kentucky"	"21"	"2022"	"2022"	"January"	"1"	4278
	"Kentucky"	"21"	"2022"	"2022"	"February"	"2"	4022
	"Kentucky"	"21"	"2022"	"2022"	"March"	"3"	4395
	"Kentucky"	"21"	"2022"	"2022"	"April"	"4"	4118
	"Kentucky"	"21"	"2022"	"2022"	"May"	"5"	4126
	"Kentucky"	"21"	"2022"	"2022"	"June"	"6"	4251
	"Kentucky"	"21"	"2022"	"2022"	"July"	"7"	4483
	"Kentucky"	"21"	"2022"	"2022"	"August"	"8"	4906
	"Kentucky"	"21"	"2022"	"2022"	"September"	"9"	4535
	"Kentucky"	"21"	"2022"	"2022"	"October"	"10"	4296
	"Kentucky"	"21"	"2022"	"2022"	"November"	"11"	4366
	"Kentucky"	"21"	"2022"	"2022"	"December"	"12"	4539
"Total"	"Kentucky"	"21"	"2022"	"2022"			52315
"Total"	"Kentucky"	"21"					156197
	"Louisiana"	"22"	"2020"	"2020"	"January"	"1"	5020
	"Louisiana"	"22"	"2020"	"2020"	"February"	"2"	4426
	"Louisiana"	"22"	"2020"	"2020"	"March"	"3"	4640
	"Louisiana"	"22"	"2020"	"2020"	"April"	"4"	4395
	"Louisiana"	"22"	"2020"	"2020"	"May"	"5"	4581
	"Louisiana"	"22"	"2020"	"2020"	"June"	"6"	4572
	"Louisiana"	"22"	"2020"	"2020"	"July"	"7"	4952
	"Louisiana"	"22"	"2020"	"2020"	"August"	"8"	5096
	"Louisiana"	"22"	"2020"	"2020"	"September"	"9"	5098
	"Louisiana"	"22"	"2020"	"2020"	"October"	"10"	4869
	"Louisiana"	"22"	"2020"	"2020"	"November"	"11"	4774
	"Louisiana"	"22"	"2020"	"2020"	"December"	"12"	4905
"Total"	"Louisiana"	"22"	"2020"	"2020"			57328
	"Louisiana"	"22"	"2021"	"2021"	"January"	"1"	4659
	"Louisiana"	"22"	"2021"	"2021"	"February"	"2"	4409
	"Louisiana"	"22"	"2021"	"2021"	"March"	"3"	4893
	"Louisiana"	"22"	"2021"	"2021"	"April"	"4"	4225
	"Louisiana"	"22"	"2021"	"2021"	"May"	"5"	4385
	"Louisiana"	"22"	"2021"	"2021"	"June"	"6"	4739
	"Louisiana"	"22"	"2021"	"2021"	"July"	"7"	5036
	"Louisiana"	"22"	"2021"	"2021"	"August"	"8"	5113
	"Louisiana"	"22"	"2021"	"2021"	"September"	"9"	5261
	"Louisiana"	"22"	"2021"	"2021"	"October"	"10"	4893
	"Louisiana"	"22"	"2021"	"2021"	"November"	"11"	4858
	"Louisiana"	"22"	"2021"	"2021"	"December"	"12"	4966
"Total"	"Louisiana"	"22"	"2021"	"2021"			57437
	"Louisiana"	"22"	"2022"	"2022"	"January"	"1"	4564
	"Louisiana"	"22"	"2022"	"2022"	"February"	"2"	4366
	"Louisiana"	"22"	"2022"	"2022"	"March"	"3"	4468
	"Louisiana"	"22"	"2022"	"2022"	"April"	"4"	4154
	"Louisiana"	"22"	"2022"	"2022"	"May"	"5"	4384
	"Louisiana"	"22"	"2022"	"2022"	"June"	"6"	4418
	"Louisiana"	"22"	"2022"	"2022"	"July"	"7"	4949
	"Louisiana"	"22"	"2022"	"2022"	"August"	"8"	5406
	"Louisiana"	"22"	"2022"	"2022"	"September"	"9"	4926
	"Louisiana"	"22"	"2022"	"2022"	"October"	"10"	4777
	"Louisiana"	"22"	"2022"	"2022"	"November"	"11"	4919
	"Louisiana"	"22"	"2022"	"2022"	"December"	"12"	5148
"Total"	"Louisiana"	"22"	"2022"	"2022"			56479
"Total"	"Louisiana"	"22"					171244
	"Maine"	"23"	"2020"	"2020"	"January"	"1"	881
	"Maine"	"23"	"2020"	"2020"	"February"	"2"	845
	"Maine"	"23"	"2020"	"2020"	"March"	"3"	954
	"Maine"	"23"	"2020"	"2020"	"April"	"4"	906
	"Maine"	"23"	"2020"	"2020"	"May"	"5"	1013
	"Maine"	"23"	"2020"	"2020"	"June"	"6"	1084
	"Maine"	"23"	"2020"	"2020"	"July"	"7"	1110
	"Maine"	"23"	"2020"	"2020"	"August"	"8"	997
	"Maine"	"23"	"2020"	"2020"	"September"	"9"	1001
	"Maine"	"23"	"2020"	"2020"	"October"	"10"	960
	"Maine"	"23"	"2020"	"2020"	"November"	"11"	898
	"Maine"	"23"	"2020"	"2020"	"December"	"12"	890
"Total"	"Maine"	"23"	"2020"	"2020"			11539
	"Maine"	"23"	"2021"	"2021"	"January"	"1"	885
	"Maine"	"23"	"2021"	"2021"	"February"	"2"	812
	"Maine"	"23"	"2021"	"2021"	"March"	"3"	960
	"Maine"	"23"	"2021"	"2021"	"April"	"4"	1007
	"Maine"	"23"	"2021"	"2021"	"May"	"5"	1045
	"Maine"	"23"	"2021"	"2021"	"June"	"6"	1073
	"Maine"	"23"	"2021"	"2021"	"July"	"7"	1135
	"Maine"	"23"	"2021"	"2021"	"August"	"8"	1112
	"Maine"	"23"	"2021"	"2021"	"September"	"9"	1103
	"Maine"	"23"	"2021"	"2021"	"October"	"10"	979
	"Maine"	"23"	"2021"	"2021"	"November"	"11"	992
	"Maine"	"23"	"2021"	"2021"	"December"	"12"	903
"Total"	"Maine"	"23"	"2021"	"2021"			12006
	"Maine"	"23"	"2022"	"2022"	"January"	"1"	871
	"Maine"	"23"	"2022"	"2022"	"February"	"2"	884
	"Maine"	"23"	"2022"	"2022"	"March"	"3"	1025
	"Maine"	"23"	"2022"	"2022"	"April"	"4"	973
	"Maine"	"23"	"2022"	"2022"	"May"	"5"	1053
	"Maine"	"23"	"2022"	"2022"	"June"	"6"	1063
	"Maine"	"23"	"2022"	"2022"	"July"	"7"	1061
	"Maine"	"23"	"2022"	"2022"	"August"	"8"	1095
	"Maine"	"23"	"2022"	"2022"	"September"	"9"	1020
	"Maine"	"23"	"2022"	"2022"	"October"	"10"	980
	"Maine"	"23"	"2022"	"2022"	"November"	"11"	1016
	"Maine"	"23"	"2022"	"2022"	"December"	"12"	1052
"Total"	"Maine"	"23"	"2022"	"2022"			12093
"Total"	"Maine"	"23"					35638
	"Maryland"	"24"	"2020"	"2020"	"January"	"1"	5876
	"Maryland"	"24"	"2020"	"2020"	"February"	"2"	5269
	"Maryland"	"24"	"2020"	"2020"	"March"	"3"	5730
	"Maryland"	"24"	"2020"	"2020"	"April"	"4"	5572
	"Maryland"	"24"	"2020"	"2020"	"May"	"5"	5762
	"Maryland"	"24"	"2020"	"2020"	"June"	"6"	5805
	"Maryland"	"24"	"2020"	"2020"	"July"	"7"	6198
	"Maryland"	"24"	"2020"	"2020"	"August"	"8"	6213
	"Maryland"	"24"	"2020"	"2020"	"September"	"9"	5741
	"Maryland"	"24"	"2020"	"2020"	"October"	"10"	5629
	"Maryland"	"24"	"2020"	"2020"	"November"	"11"	5266
	"Maryland"	"24"	"2020"	"2020"	"December"	"12"	5493
"Total"	"Maryland"	"24"	"2020"	"2020"			68554
	"Maryland"	"24"	"2021"	"2021"	"January"	"1"	5142
	"Maryland"	"24"	"2021"	"2021"	"February"	"2"	4893
	"Maryland"	"24"	"2021"	"2021"	"March"	"3"	5656
	"Maryland"	"24"	"2021"	"2021"	"April"	"4"	5447
	"Maryland"	"24"	"2021"	"2021"	"May"	"5"	5700
	"Maryland"	"24"	"2021"	"2021"	"June"	"6"	5963
	"Maryland"	"24"	"2021"	"2021"	"July"	"7"	6216
	"Maryland"	"24"	"2021"	"2021"	"August"	"8"	6153
	"Maryland"	"24"	"2021"	"2021"	"September"	"9"	5997
	"Maryland"	"24"	"2021"	"2021"	"October"	"10"	5953
	"Maryland"	"24"	"2021"	"2021"	"November"	"11"	5529
	"Maryland"	"24"	"2021"	"2021"	"December"	"12"	5636
"Total"	"Maryland"	"24"	"2021"	"2021"			68285
	"Maryland"	"24"	"2022"	"2022"	"January"	"1"	5595
	"Maryland"	"24"	"2022"	"2022"	"February"	"2"	5220
	"Maryland"	"24"	"2022"	"2022"	"March"	"3"	5802
	"Maryland"	"24"	"2022"	"2022"	"April"	"4"	5465
	"Maryland"	"24"	"2022"	"2022"	"May"	"5"	5661
	"Maryland"	"24"	"2022"	"2022"	"June"	"6"	5791
	"Maryland"	"24"	"2022"	"2022"	"July"	"7"	6080
	"Maryland"	"24"	"2022"	"2022"	"August"	"8"	6208
	"Maryland"	"24"	"2022"	"2022"	"September"	"9"	5679
	"Maryland"	"24"	"2022"	"2022"	"October"	"10"	5754
	"Maryland"	"24"	"2022"	"2022"	"November"	"11"	5671
	"Maryland"	"24"	"2022"	"2022"	"December"	"12"	5856
"Total"	"Maryland"	"24"	"2022"	"2022"			68782
"Total"	"Maryland"	"24"					205621
	"Massachusetts"	"25"	"2020"	"2020"	"January"	"1"	5480
	"Massachusetts"	"25"	"2020"	"2020"	"February"	"2"	5203
	"Massachusetts"	"25"	"2020"	"2020"	"March"	"3"	5567
	"Massachusetts"	"25"	"2020"	"2020"	"April"	"4"	5367
	"Massachusetts"	"25"	"2020"	"2020"	"May"	"5"	5816
	"Massachusetts"	"25"	"2020"	"2020"	"June"	"6"	5933
	"Massachusetts"	"25"	"2020"	"2020"	"July"	"7"	6069
	"Massachusetts"	"25"	"2020"	"2020"	"August"	"8"	5904
	"Massachusetts"	"25"	"2020"	"2020"	"September"	"9"	5684
	"Massachusetts"	"25"	"2020"	"2020"	"October"	"10"	5433
	"Massachusetts"	"25"	"2020"	"2020"	"November"	"11"	5092
	"Massachusetts"	"25"	"2020"	"2020"	"December"	"12"	4880
"Total"	"Massachusetts"	"25"	"2020"	"2020"			66428
	"Massachusetts"	"25"	"2021"	"2021"	"January"	"1"	4905
	"Massachusetts"	"25"	"2021"	"2021"	"February"	"2"	4791
	"Massachusetts"	"25"	"2021"	"2021"	"March"	"3"	5728
	"Massachusetts"	"25"	"2021"	"2021"	"April"	"4"	5673
	"Massachusetts"	"25"	"2021"	"2021"	"May"	"5"	6098
	"Massachusetts"	"25"	"2021"	"2021"	"June"	"6"	6194
	"Massachusetts"	"25"	"2021"	"2021"	"July"	"7"	6266
